longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0.211155378486055,0.567481402763018,0.784313725490196,0.0223307391016837,0.0198634388578523,0.00894083354354102,0.020555829633284,0.539668418366643,452600
0.21215139442231,0.565356004250797,0.392156862745098,0.180502568798006,0.171477343265053,0.0672104038790325,0.186975826344351,0.538027061695701,358500
0.210159362549801,0.564293304994687,1,0.0372602879088458,0.0293296089385475,0.0138176518400179,0.0289426081236639,0.466028054785451,352100
0.209163346613545,0.564293304994687,1,0.0323515946894552,0.0363128491620112,0.0155553687042798,0.0358493668804473,0.354698555881988,341300
0.209163346613545,0.564293304994687,1,0.0413296708886515,0.0432960893854749,0.0157515625437933,0.0424272323630982,0.230776127225831,342200
0.209163346613545,0.564293304994687,1,0.0233226512030113,0.0328988206083178,0.0114913534572157,0.0315737543167242,0.243920773506572,269700
0.209163346613545,0.563230605738576,1,0.0644234192990488,0.0757293606455618,0.0305782112727375,0.0843611248149975,0.217872856926111,299200
0.209163346613545,0.563230605738576,1,0.0788951625209827,0.106455617628802,0.0323439558283584,0.106232527544812,0.180694059392284,241400
0.20816733067729,0.563230605738576,0.803921568627451,0.0649320921715245,0.103041589075109,0.0337173127049525,0.0976813024173656,0.108998496572461,226700
0.209163346613545,0.563230605738576,1,0.0902131339335673,0.109559279950341,0.0433868662238291,0.117250452228252,0.220086619494904,261100
0.20816733067729,0.564293304994687,1,0.0559540159723282,0.0671942892613284,0.0254211160626699,0.0659431014635751,0.186425014827382,281500
0.20816733067729,0.564293304994687,1,0.0890431863268732,0.116542520173805,0.0420695647299532,0.120539384969577,0.191073226576185,241800
0.20816733067729,0.564293304994687,1,0.0633043389796022,0.0734016139044072,0.0306903220381737,0.076796579509949,0.177590653922015,213500
0.20816733067729,0.563230605738576,1,0.0176509486749072,0.0294847920546245,0.00958547044479946,0.0284492682124651,0.149908277127212,191300
0.20816733067729,0.564293304994687,1,0.0671702528104176,0.0969894475481068,0.0338854788531069,0.101792468344022,0.0977089971172812,159200
0.20816733067729,0.564293304994687,0.96078431372549,0.0284348135713922,0.0437616387337058,0.0194512178031895,0.0432494655484295,0.112074316216328,140000
0.207171314741036,0.564293304994687,1,0.0499516760771148,0.0536933581626319,0.0221418761736596,0.0542673902318698,0.156901284120219,152500
0.207171314741036,0.564293304994687,1,0.0311816470827611,0.0453134698944755,0.0180778609265955,0.0496628843940141,0.111743286299499,155500
0.20816733067729,0.563230605738576,0.96078431372549,0.0568950607864083,0.0704531346989447,0.0276633313713949,0.0687386942937017,0.102839960828127,158700
0.207171314741036,0.563230605738576,1,0.0381758990793021,0.0460893854748603,0.0192550239636761,0.0450583785561585,0.145060068136991,162900
0.207171314741036,0.564293304994687,0.764705882352941,0.0190497990742154,0.0283985102420857,0.0113792426917795,0.0271336951159349,0.0591647011765355,147500
0.207171314741036,0.564293304994687,0.803921568627451,0.0416348746121369,0.0567970204841713,0.0259536421984921,0.0600230225291893,0.0836953973048648,159800
